2024-06-06 10:04:58.183481, -1001781413045_79486, ARBUSDT, short, standard3-1
2024-06-06 10:05:03.503592, -1001781413045_79487, ARBUSDT, long, standard3-1
2024-06-06 10:08:35.764500, -1001483974324_36128, BNBUSDT, short, standard3-1
2024-06-06 10:09:46.941592, -1001654019438_3071, OPUSDT, short, standard3-1
2024-06-06 10:28:30.031491, -1001483974324_36129, 1000PEPEUSDT, long, standard3-1
2024-06-06 10:49:22.179402, -1001756316676_43279, 1000PEPEUSDT, short, standard3-1
2024-06-06 10:52:22.320302, -1001781413045_79494, 1000PEPEUSDT, long, standard3-1
2024-06-06 11:00:29.059190, -1001543510066_10001, ORUSDT, short, standard3-1
2024-06-06 11:19:01.745379, -1001781413045_79499, COMBOUSDT, short, standard3-1
2024-06-06 11:25:08.997801, -1001781413045_79501, GALAUSDT, long, standard3-1
2024-06-06 11:32:21.222743, -1001552004524_35122, CVXUSDT, long, standard3-1
2024-06-06 11:32:38.589493, -1001593982841_5750, ENJUSDT, long, standard3-1
2024-06-06 11:33:24.002837, -1001262962760_93924, BTCUSDT, long, standard3-1
2024-06-06 11:49:01.748173, -1001781413045_79505, COMBOUSDT, short, standard3-1
2024-06-06 11:54:30.821708, -1001212188460_26503, MANAUSDT, long, standard3-1
2024-06-06 11:55:01.417980, -1001781413045_79507, COMBOUSDT, short, standard3-1
2024-06-06 12:02:31.502114, -1001555625124_34302, INJUSDT, long, standard3-1
2024-06-06 12:04:02.742512, -1001781413045_79509, COMBOUSDT, short, standard3-1
2024-06-06 12:04:10.491601, -1001317169843_11957, WAVESUSDT, long, standard3-1
2024-06-06 12:16:38.692328, -1001266391544_145305, LQTYUSDT, short, standard3-1
2024-06-06 12:17:12.289169, -1001483974324_36173, MATICUSDT, long, standard3-1
2024-06-06 12:17:19.980312, -1001882052882_3639, DOGEUSDT, long, standard3-1
2024-06-06 12:17:46.825120, -1001781413045_79513, EOSUSDT, long, standard3-1
2024-06-06 12:19:15.768184, -1001902940198_12936, INJUSDT, long, standard3-1
2024-06-06 12:24:59.817499, -1001781413045_79514, COMBOUSDT, short, standard3-1
2024-06-06 12:26:26.642619, -1001691583887_20069, DOGEUSDT, long, standard3-1
2024-06-06 12:32:36.231933, -1001212188460_26506, MANTAUSDT, long, standard3-1
2024-06-06 12:34:05.472482, -1001781413045_79516, COMBOUSDT, short, standard3-1
2024-06-06 12:34:16.790609, -1001962664913_2688, FETUSDT, long, standard3-1
2024-06-06 12:37:16.662015, -1001630692598_13079, BCHUSDT, short, standard3-1
2024-06-06 12:38:23.784951, -1001493720845_6048, MATICUSDT, short, standard3-1
2024-06-06 12:38:45.401521, -1001483974324_36177, SXPUSDT, long, standard3-1
2024-06-06 12:39:55.653547, -1001493720845_6049, MATICUSDT, short, standard3-1
2024-06-06 12:40:07.589276, -1001781413045_79518, COMBOUSDT, short, standard3-1
2024-06-06 12:41:15.460648, -1001907710844_3935, INJUSDT, long, standard3-1
2024-06-06 12:45:55.249268, -1001555625124_34304, SXPUSDT, long, standard3-1
2024-06-06 12:46:00.725187, -1001727857237_36292, OMGUSDT, long, standard3-1
2024-06-06 12:46:37.570998, -1001437466982_7937, OMGUSDT, long, standard3-1
