2024-06-05 14:02:24.519068, 53435331_13939, TONUSDT, short, standard3-1
2024-06-05 14:03:15.594350, 53435331_13942, TONUSDT, short, standard3-1
2024-06-05 14:04:46.380660, 53435331_13943, TONUSDT, long, standard3-1
2024-06-05 14:12:47.985369, -1001552004524_35049, FETUSDT, long, standard3-1
2024-06-05 14:17:01.446756, -1001939452549_8145, STXUSDT, short, standard3-1
2024-06-05 14:19:47.227454, -1001235145681_80256, OMUSDT, long, standard3-1
2024-06-05 14:29:14.138985, 53435331_13947, TONUSDT, long, standard3-1
2024-06-05 14:29:20.557924, 53435331_13948, TONUSDT, long, standard3-1
2024-06-05 14:33:40.207202, 53435331_13949, TONUSDT, long, standard3-1
2024-06-05 14:42:55.282088, 53435331_13954, TONUSDT, long, standard3-1
2024-06-05 14:46:31.066556, 53435331_13961, TONUSDT, long, standard3-1
2024-06-05 15:01:35.476069, -1001988377539_1531, IMXUSDT, long, standard3-1
2024-06-05 15:16:27.090469, -1001902940198_12900, OCEANUSDT, long, standard3-1
2024-06-05 15:21:27.331683, -1001552004524_35055, DYDXUSDT, short, standard3-1
2024-06-05 15:24:09.457092, -1001312794873_31378, ETHFIUSDT, long, standard3-1
2024-06-05 15:35:15.255787, -1001913353132_1269, WOOUSDT, short, standard3-1
2024-06-05 15:41:37.516216, -1001552004524_35059, FETUSDT, long, standard3-1
2024-06-05 16:16:04.209504, -1001902940198_12904, OCEANUSDT, long, standard3-1
2024-06-05 16:16:57.723989, -1001552004524_35061, FETUSDT, long, standard3-1
2024-06-05 16:45:11.365791, -1001866690835_3997, UNIUSDT, long, standard3-1
2024-06-05 17:04:12.214071, -1001784672307_25321, DYDXUSDT, long, standard3-1
2024-06-05 17:39:47.093779, -1001493720845_6043, AEVOUSDT, short, standard3-1
2024-06-05 17:43:41.124727, -1001939452549_8160, THETAUSDT, long, standard3-1
2024-06-05 17:53:29.220211, -1001962664913_2677, DOTUSDT, long, standard3-1
2024-06-05 18:01:17.492299, -1001553917296_3986, ETHUSDT, long, standard3-1
2024-06-05 18:04:12.584383, -1001212188460_26472, ARBUSDT, long, standard3-1
2024-06-05 18:39:27.015693, -1001552004524_35068, ETHUSDT, long, standard3-1
2024-06-05 20:12:56.953443, -1001553551852_38341, KASUSDT, long, standard3-1
2024-06-05 21:14:29.027460, -1001437466982_7934, HOTUSDT, long, standard3-1
2024-06-05 21:25:21.106095, -1001304556087_14145, IOTXUSDT, short, standard3-1
2024-06-05 21:35:29.934031, -1001939319331_11812, COMBOUSDT, long, standard3-1
2024-06-05 23:16:58.581531, -1001553551852_38347, PEOPLEUSDT, short, standard3-1
2024-06-06 00:03:13.010883, -1001317169843_11951, TWTUSDT, long, standard3-1
2024-06-06 01:21:36.895232, -1001437466982_7935, REEFUSDT, long, standard3-1
2024-06-06 02:06:02.544568, -1001553551852_38355, RENUSDT, short, standard3-1
2024-06-06 02:30:58.810495, -1001553551852_38357, PYTHUSDT, short, standard3-1
2024-06-06 04:02:42.048458, -1001552004524_35086, BNBUSDT, short, standard3-1
2024-06-06 04:02:59.837832, -1001939452549_8166, 1000PEPEUSDT, long, standard3-1
2024-06-06 04:45:54.925335, -1001553551852_38365, PYTHUSDT, long, standard3-1
2024-06-06 04:51:21.124204, -1001784672307_25326, DYDXUSDT, long, standard3-1
2024-06-06 04:57:06.206865, -1001552004524_35090, BTCUSDT, short, standard3-1
2024-06-06 05:47:44.274096, -1001939319331_11825, PEOPLEUSDT, long, standard3-1
2024-06-06 06:01:32.848865, -1001437466982_7936, EOSUSDT, long, standard3-1
2024-06-06 07:06:14.305415, -1001558796279_6567, AEVOUSDT, short, standard3-1
2024-06-06 07:11:08.706684, -1001265767587_9010, BTCUSDT, long, standard3-1
2024-06-06 07:39:14.839835, -1001962664913_2682, CAKEUSDT, long, standard3-1
2024-06-06 08:01:34.749946, -1001543510066_9997, DYDXUSDT, long, standard3-1
2024-06-06 08:06:55.993741, -1001553551852_38373, RENUSDT, long, standard3-1
2024-06-06 08:32:01.582630, -1001553551852_38377, GMXUSDT, short, standard3-1
2024-06-06 09:08:33.431783, -1001802738647_22705, MANTAUSDT, long, standard3-1
2024-06-06 09:52:10.226433, -1001849045841_1874, ETHFIUSDT, short, standard3-1
